Date_YYYYMM,gspending
2012-01,0.73
2012-02,0.73
2012-03,0.73
2012-04,0.96
2012-05,0.96
2012-06,0.96
2012-07,0.76
2012-08,0.76
2012-09,0.76
2012-10,0.95
2012-11,0.95
2012-12,0.95
2013-01,0.63
2013-02,0.63
2013-03,0.63
2013-04,0.9
2013-05,0.9
2013-06,0.9
2013-07,0.91
2013-08,0.91
2013-09,0.91
2013-10,0.93
2013-11,0.93
2013-12,0.93
2014-01,0.65
2014-02,0.65
2014-03,0.65
2014-04,0.78
2014-05,0.78
2014-06,0.78
2014-07,0.93
2014-08,0.93
2014-09,0.93
2014-10,1.03
2014-11,1.03
2014-12,1.03
2015-01,0.84
2015-02,0.84
2015-03,0.84
2015-04,0.72
2015-05,0.72
2015-06,0.72
2015-07,0.97
2015-08,0.97
2015-09,0.97
2015-10,1.12
2015-11,1.12
2015-12,1.12
2016-01,0.91
2016-02,0.91
2016-03,0.91
2016-04,0.78
2016-05,0.78
2016-06,0.78
2016-07,1
2016-08,1
2016-09,1
2016-10,1.14
2016-11,1.14
2016-12,1.14
2017-01,0.97
2017-02,0.97
2017-03,0.97
2017-04,0.9
2017-05,0.9
2017-06,0.9
2017-07,1.21
2017-08,1.21
2017-09,1.21
2017-10,1.23
2017-11,1.23
2017-12,1.23
2018-01,1.07
2018-02,1.07
2018-03,1.07
2018-04,0.98
2018-05,0.98
2018-06,0.98
2018-07,1.29
2018-08,1.29
2018-09,1.29
2018-10,1.33
2018-11,1.33
2018-12,1.33
2019-01,1.1
2019-02,1.1
2019-03,1.1
2019-04,1.06
2019-05,1.06
2019-06,1.06
2019-07,1.27
2019-08,1.27
2019-09,1.27
2019-10,1.4
2019-11,1.4
2019-12,1.4
2020-01,1.16
2020-02,1.16
2020-03,1.16
2020-04,1.15
2020-05,1.15
2020-06,1.15
2020-07,1.38
2020-08,1.38
2020-09,1.38
2020-10,1.03
2020-11,1.03
2020-12,1.03
2021-01,1.11
2021-02,1.11
2021-03,1.11
2021-04,1.42
2021-05,1.42
2021-06,1.42
2021-07,1.26
2021-08,1.26
2021-09,1.26
2021-10,1.09
2021-11,1.09
2021-12,1.09
2022-01,1.1
2022-02,1.1
2022-03,1.1
2022-04,1.49
2022-05,1.49
2022-06,1.49
2022-07,1.39
2022-08,1.39
2022-09,1.39
2022-10,1.12
2022-11,1.12
2022-12,1.12
2023-01,1.18
2023-02,1.18
2023-03,1.18
2023-04,1.69
2023-05,1.69
2023-06,1.69
2023-07,1.39
2023-08,1.39
2023-09,1.39
2023-10,1.28
2023-11,1.28
2023-12,1.28
