Date_YYYYMM,IIp
2012-01,1
2012-02,4.2
2012-03,-2.8
2012-04,-0.7
2012-05,5
2012-06,2.3
2012-07,1.5
2012-08,-0.1
2012-09,-1
2012-10,3.7
2012-11,-1.7
2012-12,7.1
2013-01,7.2
2013-02,1.4
2013-03,15.2
2013-04,3.3
2013-05,1
2013-06,-1
2013-07,3.2
2013-08,4.4
2013-09,6.8
2013-10,1.9
2013-11,3.7
2013-12,3.5
2014-01,4.8
2014-02,5.2
2014-03,2.9
2014-04,3.9
2014-05,4.7
2014-06,8.3
2014-07,5.4
2014-08,3.5
2014-09,4.3
2014-10,0.3
2014-11,7.4
2014-12,4
2015-01,1.8
2015-02,3
2015-03,2.4
2015-04,0.7
2015-05,1.8
2015-06,1
2015-07,1.3
2015-08,3.7
2015-09,2.2
2015-10,9
2015-11,0.8
2015-12,3.1
2016-01,4
2016-02,7.2
2016-03,5.2
2016-04,6
2016-05,7.3
2016-06,8
2016-07,4.5
2016-08,4
2016-09,5
2016-10,4.2
2016-11,5.1
2016-12,2.4
2017-01,3.5
2017-02,1.2
2017-03,4.4
2017-04,3.2
2017-05,2.9
2017-06,-0.3
2017-07,1
2017-08,4.8
2017-09,4.1
2017-10,1.8
2017-11,8.5
2017-12,7.3
2018-01,7.5
2018-02,6.9
2018-03,5.3
2018-04,4.5
2018-05,3.8
2018-06,7
2018-07,6.5
2018-08,4.8
2018-09,4.6
2018-10,8.4
2018-11,0.2
2018-12,2.5
2019-01,1.6
2019-02,0.2
2019-03,2.7
2019-04,3.2
2019-05,4.5
2019-06,1.3
2019-07,4.9
2019-08,-1.4
2019-09,-4.6
2019-10,-6.6
2019-11,2.1
2019-12,0.4
2020-01,2.2
2020-02,5.2
2020-03,-18.7
2020-04,-57.3
2020-05,-33.4
2020-06,-16.6
2020-07,-10.5
2020-08,-7.1
2020-09,1
2020-10,4.5
2020-11,-1.6
2020-12,2.2
2021-01,-0.6
2021-02,-3.2
2021-03,24.2
2021-04,99
2021-05,27.6
2021-06,13.8
2021-07,11.5
2021-08,13
2021-09,4.4
2021-10,4.2
2021-11,1
2021-12,1
2022-01,2
2022-02,1.2
2022-03,2.2
2022-04,6.7
2022-05,19.7
2022-06,12.6
2022-07,2.2
2022-08,-0.7
2022-09,3.3
2022-10,-4.1
2022-11,7.6
2022-12,5.1
2023-01,5.8
2023-02,6
2023-03,1.9
2023-04,4.6
2023-05,5.7
2023-06,4
2023-07,6.2
2023-08,10.9
2023-09,6.4
2023-10,11.9
2023-11,2.5
2023-12,4.4
