Date_YYYYMM,Money Suply m2,m2-scaled
2012-01,17046.24,-1
2012-02,17245.67,-0.991
2012-03,17705.19,-0.971
2012-04,17825.2,-0.966
2012-05,17849.61,-0.965
2012-06,18428.51,-0.94
2012-07,17752.44,-0.969
2012-08,17927.78,-0.962
2012-09,17831.65,-0.966
2012-10,17703.31,-0.971
2012-11,18315.71,-0.945
2012-12,18501.19,-0.937
2013-01,18417.17,-0.94
2013-02,18802.9,-0.924
2013-03,19353.76,-0.9
2013-04,19392.05,-0.898
2013-05,19608,-0.889
2013-06,20092.64,-0.868
2013-07,19455.58,-0.895
2013-08,19419.35,-0.897
2013-09,19492.27,-0.894
2013-10,19684.02,-0.885
2013-11,20029.12,-0.87
2013-12,20296.91,-0.859
2014-01,20494.4,-0.85
2014-02,20609.95,-0.845
2014-03,21027.79,-0.827
2014-04,21641.33,-0.8
2014-05,22010.91,-0.784
2014-06,21914.68,-0.789
2014-07,21519.89,-0.806
2014-08,21550.06,-0.804
2014-09,21590.15,-0.803
2014-10,21943.8,-0.787
2014-11,22148.19,-0.778
2014-12,22339.79,-0.77
2015-01,22345.91,-0.77
2015-02,22814.23,-0.75
2015-03,23398.32,-0.724
2015-04,23841.94,-0.705
2015-05,24152.11,-0.691
2015-06,23945.96,-0.7
2015-07,23828.94,-0.705
2015-08,23922.52,-0.701
2015-09,24014.17,-0.697
2015-10,24569.23,-0.673
2015-11,24776.89,-0.664
2015-12,25149.05,-0.648
2016-01,25002.23,-0.654
2016-02,25862.11,-0.617
2016-03,26641.05,-0.583
2016-04,27359.98,-0.552
2016-05,27214.59,-0.558
2016-06,27331.32,-0.553
2016-07,27180.2,-0.56
2016-08,27540.49,-0.544
2016-09,28999.71,-0.481
2016-10,28307.63,-0.511
2016-11,21956.76,-0.787
2016-12,20883.21,-0.833
2017-01,21900.25,-0.789
2017-02,23436.58,-0.722
2017-03,27740.21,-0.536
2017-04,27040.53,-0.566
2017-05,27155.65,-0.561
2017-06,27956.75,-0.526
2017-07,27847.26,-0.531
2017-08,28245.79,-0.514
2017-09,29711.45,-0.45
2017-10,29244.56,-0.47
2017-11,29316.78,-0.467
2017-12,29891.2,-0.442
2018-01,30168.68,-0.43
2018-02,30749.05,-0.405
2018-03,33765.41,-0.274
2018-04,32896.09,-0.312
2018-05,32776.7,-0.317
2018-06,33053.27,-0.305
2018-07,32764.78,-0.317
2018-08,33342.16,-0.292
2018-09,34175.79,-0.256
2018-10,33762.5,-0.274
2018-11,34157.44,-0.257
2018-12,34088.53,-0.26
2019-01,34750.74,-0.231
2019-02,35917.81,-0.18
2019-03,38510.63,-0.068
2019-04,37289.52,-0.121
2019-05,37161.95,-0.126
2019-06,36931.37,-0.136
2019-07,37219.89,-0.124
2019-08,37422.26,-0.115
2019-09,37839,-0.097
2019-10,38090.5,-0.086
2019-11,37921.62,-0.093
2019-12,38303.22,-0.077
2020-01,39454.39,-0.027
2020-02,40135.98,0.003
2020-03,42769.11,0.117
2020-04,41936.92,0.081
2020-05,42747.84,0.116
2020-06,43329.47,0.141
2020-07,44248.56,0.181
2020-08,44427.5,0.189
2020-09,44873.24,0.208
2020-10,44485.94,0.192
2020-11,45110.99,0.219
2020-12,45744.96,0.246
2021-01,47298.05,0.314
2021-02,47701.92,0.331
2021-03,49651.52,0.416
2021-04,48814.94,0.38
2021-05,49117.08,0.393
2021-06,49978.8,0.43
2021-07,50299.93,0.444
2021-08,49778.71,0.421
2021-09,49969.92,0.43
2021-10,50085.57,0.435
2021-11,50601.69,0.457
2021-12,53176.5,0.569
2022-01,52160.34,0.525
2022-02,53212.63,0.571
2022-03,54955.58,0.646
2022-04,54765.43,0.638
2022-05,54885.36,0.643
2022-06,54390.93,0.622
2022-07,54983.61,0.648
2022-08,54786.16,0.639
2022-09,54244.8,0.615
2022-10,55224.14,0.658
2022-11,55524.41,0.671
2022-12,57269.63,0.747
2023-01,57294.2,0.748
2023-02,57797.04,0.77
2023-03,58750.52,0.811
2023-04,58968.17,0.821
2023-05,58997.59,0.822
2023-06,61023.69,0.91
2023-07,58853.61,0.816
2023-08,58288.02,0.791
2023-09,58131.05,0.784
2023-10,58653.32,0.807
2023-11,59785.26,0.856
2023-12,61174.78,0.916
2024-01,61017.6,0.91
2024-02,61560.26,0.933
2024-03,62917.23,0.992
2024-04,62800.1,0.987
2024-05,63100.5,1
